ticker,earnings_date,eps_estimate,eps_actual,surprise_pct
CVX,2025-08-01,1.74,1.77,1.71
CVX,2025-10-31,1.71,1.85,8.39
CVX,2026-01-30,1.44,1.52,5.2
CVX,2026-05-01,1.0,,
GOOG,2024-07-23,1.84,1.89,2.54
GOOG,2024-10-29,1.85,2.12,14.74
GOOG,2025-02-04,2.13,2.15,1.18
GOOG,2025-04-24,2.01,2.81,40.1
GOOG,2025-07-23,2.2,2.31,5.09
GOOG,2025-10-29,2.26,2.87,26.88
GOOG,2026-02-04,2.64,2.82,6.78
GOOG,2026-04-29,2.63,,
GS,2024-07-15,8.4,8.41,0.14
GS,2024-10-15,7.31,9.02,23.35
GS,2025-01-15,8.35,11.95,43.1
GS,2025-04-14,12.26,14.12,15.16
GS,2025-07-16,9.66,10.91,12.91
GS,2025-10-14,10.63,12.25,15.2
GS,2026-01-15,11.76,14.01,19.09
GS,2026-04-13,16.24,17.55,8.09
GS,2026-07-14,13.76,,
INTC,2024-08-01,0.1,0.02,-80.18
INTC,2024-10-31,-0.25,-3.88,-1422.64
INTC,2025-01-30,0.12,0.13,8.71
INTC,2025-04-24,,0.13,2769.76
INTC,2025-07-24,0.01,-0.1,-1280.64
INTC,2025-10-23,0.01,0.23,3121.29
INTC,2026-01-22,0.08,0.15,81.51
INTC,2026-04-23,0.01,0.29,2192.49
INTC,2026-07-23,0.21,,
JNJ,2024-07-17,2.7,2.82,4.31
JNJ,2024-10-15,2.21,2.42,9.71
JNJ,2025-01-22,2.01,2.04,1.38
JNJ,2025-04-15,2.58,2.77,7.38
JNJ,2025-07-16,2.68,2.77,3.21
JNJ,2025-10-14,2.76,2.8,1.49
JNJ,2026-01-21,2.46,2.46,-0.11
JNJ,2026-04-14,2.27,2.14,-5.86
JNJ,2026-07-15,2.84,,
JPM,2024-07-12,4.53,6.12,35.02
JPM,2024-10-11,3.99,4.37,9.63
JPM,2025-01-15,4.04,4.81,19.18
JPM,2025-04-11,4.64,5.07,9.15
JPM,2025-07-15,4.47,4.96,10.89
JPM,2025-10-14,4.87,5.07,4.01
JPM,2026-01-13,4.82,4.63,-3.91
JPM,2026-04-14,5.51,5.94,7.78
JPM,2026-07-14,5.38,,
LLY,2024-04-30,2.49,2.58,3.67
LLY,2024-08-08,2.77,3.92,41.68
LLY,2024-10-30,1.47,1.18,-19.52
LLY,2025-02-06,5.01,4.88,-2.59
LLY,2025-05-01,3.54,3.34,-5.73
LLY,2025-08-07,5.59,6.31,12.89
LLY,2025-10-30,5.89,7.02,19.15
LLY,2026-02-04,6.91,7.54,9.14
LLY,2026-04-30,6.84,,
META,2024-07-31,4.78,5.16,7.9
META,2024-10-30,5.29,6.03,13.94
META,2025-01-29,6.74,8.02,19.0
META,2025-04-30,5.21,6.43,23.53
META,2025-07-30,5.86,7.14,21.82
META,2025-10-29,6.71,1.05,-84.34
META,2026-01-28,8.18,8.88,8.6
META,2026-04-29,6.64,,
MRNA,2024-05-02,-3.55,-3.07,13.57
MRNA,2024-08-01,-3.36,-3.33,1.02
MRNA,2024-11-07,-1.94,0.03,101.55
MRNA,2025-02-14,-2.73,-2.91,-6.65
MRNA,2025-05-01,-3.11,-2.52,18.89
MRNA,2025-08-01,-2.97,-2.13,28.28
MRNA,2025-11-06,-2.16,-0.51,76.42
MRNA,2026-02-13,-2.64,-2.11,20.18
MRNA,2026-05-01,-2.93,,
MSFT,2024-07-30,2.94,2.95,0.23
MSFT,2024-10-30,3.11,3.3,6.25
MSFT,2025-01-29,3.12,3.23,3.47
MSFT,2025-04-30,3.22,3.46,7.4
MSFT,2025-07-30,3.38,3.65,8.09
MSFT,2025-10-29,3.66,4.13,12.73
MSFT,2026-01-28,3.92,4.14,5.69
MSFT,2026-04-29,4.06,,
MU,2024-06-26,0.53,0.62,17.27
MU,2024-09-25,1.11,1.18,5.88
MU,2024-12-18,1.77,1.79,1.36
MU,2025-03-20,1.42,1.56,9.49
MU,2025-06-25,1.59,1.91,19.75
MU,2025-09-23,2.86,3.03,5.94
MU,2025-12-17,3.96,4.78,20.58
MU,2026-03-18,9.16,12.2,33.21
MU,2026-06-24,18.94,,
NVDA,2024-05-22,0.52,0.6,14.83
NVDA,2024-08-28,0.64,0.68,5.66
NVDA,2024-11-20,0.75,0.81,8.52
NVDA,2025-02-26,0.85,0.89,5.25
NVDA,2025-05-28,0.81,0.76,-5.9
NVDA,2025-08-27,1.01,1.05,4.1
NVDA,2025-11-19,1.26,1.3,3.46
NVDA,2026-02-25,1.54,1.62,5.32
NVDA,2026-05-20,1.77,,
OXY,2024-05-07,0.57,0.63,11.08
OXY,2024-08-07,0.77,1.03,33.21
OXY,2024-11-12,0.75,1.0,33.24
OXY,2025-02-18,0.67,0.8,19.42
OXY,2025-05-07,0.76,0.87,14.0
OXY,2025-08-06,0.31,0.39,24.79
OXY,2025-11-10,0.52,0.64,22.73
OXY,2026-02-18,0.18,0.31,76.86
OXY,2026-05-05,0.6,,
PFE,2024-05-01,0.51,0.82,60.11
PFE,2024-07-30,0.46,0.6,30.19
PFE,2024-10-29,0.61,1.06,73.28
PFE,2025-02-04,0.46,0.63,37.2
PFE,2025-04-29,0.67,0.92,36.49
PFE,2025-08-05,0.57,0.78,35.94
PFE,2025-11-04,0.63,0.87,37.43
PFE,2026-02-03,0.57,0.66,16.18
PFE,2026-05-05,0.72,,
QCOM,2024-05-01,2.32,2.44,5.31
QCOM,2024-07-31,2.26,2.33,3.32
QCOM,2024-11-06,2.57,2.69,4.74
QCOM,2025-02-05,2.99,3.41,14.2
QCOM,2025-04-30,2.82,2.85,1.19
QCOM,2025-07-30,2.71,2.77,2.05
QCOM,2025-11-05,2.88,3.0,4.32
QCOM,2026-02-04,2.75,2.78,1.07
QCOM,2026-04-29,2.56,,
TGT,2024-05-22,2.06,2.03,-1.24
TGT,2024-08-21,2.18,2.57,17.72
TGT,2024-11-20,2.3,1.85,-19.56
TGT,2025-03-04,2.25,2.41,7.05
TGT,2025-05-21,1.65,1.3,-21.27
TGT,2025-08-20,2.04,2.05,0.37
TGT,2025-11-19,1.71,1.78,4.09
TGT,2026-03-03,2.16,2.44,12.97
TGT,2026-05-20,1.65,,
UNH,2024-07-16,6.63,6.8,2.49
UNH,2024-10-15,7.03,7.15,1.7
UNH,2025-01-16,6.74,6.81,1.08
UNH,2025-04-17,7.29,7.2,-1.28
UNH,2025-07-29,4.45,4.08,-8.23
UNH,2025-10-28,2.81,2.92,3.99
UNH,2026-01-27,2.11,2.11,0.19
UNH,2026-04-21,6.6,7.23,9.52
UNH,2026-07-28,4.84,,
UPS,2024-07-23,1.99,1.79,-10.1
UPS,2024-10-24,1.62,1.76,8.45
UPS,2025-01-30,2.53,2.75,8.6
UPS,2025-04-29,1.38,1.49,7.91
UPS,2025-07-29,1.57,1.55,-1.02
UPS,2025-10-28,1.3,1.74,33.94
UPS,2026-01-27,2.2,2.38,8.14
UPS,2026-04-28,1.03,,
WFC,2024-07-12,1.28,1.34,5.09
WFC,2024-10-11,1.28,1.51,18.08
WFC,2025-01-15,1.36,1.43,5.46
WFC,2025-04-11,1.22,1.28,4.7
WFC,2025-07-15,1.41,1.6,13.6
WFC,2025-10-14,1.54,1.73,12.32
WFC,2026-01-14,1.67,1.62,-2.85
WFC,2026-04-14,1.6,1.56,-2.67
WFC,2026-07-14,1.69,,
WMT,2024-05-16,0.53,0.6,14.24
WMT,2024-08-15,0.64,0.56,-13.12
WMT,2024-11-19,0.53,0.58,8.84
WMT,2025-02-20,0.64,0.65,1.12
WMT,2025-05-15,0.58,0.56,-3.31
WMT,2025-08-21,0.74,0.68,-7.97
WMT,2025-11-20,0.6,0.77,28.79
WMT,2026-02-19,0.73,0.74,1.79
WMT,2026-05-21,0.66,,
XOM,2024-04-26,2.16,2.06,-4.75
XOM,2024-08-02,2.01,2.14,6.51
XOM,2024-11-01,1.88,1.92,2.15
XOM,2025-01-31,1.55,1.67,7.87
XOM,2025-05-02,1.74,1.76,1.16
XOM,2025-08-01,1.56,1.64,4.93
XOM,2025-10-31,1.82,1.88,3.03
XOM,2026-01-30,1.66,1.53,-7.67
XOM,2026-05-01,1.0,,
